2014-10-11 16:37:15,509 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1242offon\pom.xml.
2014-10-11 16:37:22,595 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:37:22,599 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:37:22,607 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:37:22,607 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:37:38,194 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:37:38,195 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:37:38,196 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:37:38,197 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:40:10,755 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1231offon\pom.xml.
2014-10-11 16:40:11,121 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1231offon\pom.xml.
2014-10-11 16:40:12,095 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:12,096 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-11 16:40:12,103 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:12,103 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:40:13,848 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1231offon\pom.xml.
2014-10-11 16:40:16,054 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:16,065 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-10-11 16:40:16,072 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:16,073 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-11 16:40:17,145 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:17,146 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:40:17,146 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:17,147 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:40:39,851 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:39,851 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:40:39,851 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:40:39,851 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:41:29,396 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:41:29,398 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:41:29,399 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:41:29,400 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:42:11,245 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:11,246 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:42:11,249 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-11 16:42:11,250 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-11 16:42:29,167 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1222offon\pom.xml.
2014-10-11 16:42:30,150 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ssm:smsc:1.0.0-BUILD-SNAPSHOT @ C:\Users\WONJA\Documents\SMSC\1222offon\pom.xml.
2014-10-11 16:42:30,961 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
